annee,budget,casting_principal,director,duree,genre,langue,nbre_vote,nombre_vote,pays,pegi,popularite_score,release_date_france,scenaristes,score,title
1937,No budget,"Henry Hathaway,Richard Thorpe,Frank Whitbeck",Henry Hathaway,0,Short,English,,78,United States,10m,No Popularity Score,,Henry Hathaway,6.4,Lest We Forget
1932,No budget,"Robert Wyler,Writers,Floyd Dell",Robert Wyler,0,Comedy,French,,9,France,1h 39m,No Popularity Score,"April 10, 1932",Robert Wyler,8.8,Papa sans le savoir
Video,No budget,"Stefan Nylén,Stars,Johan Widerberg",Stefan Nylén,59m,Documentary,Swedish,,9,Sweden,2015,No Popularity Score,,Stefan Nylén,8.3,Lust och fägring - En film om Bo Widerbergs sista
2013,No budget,"Gabrielle Salonga,Joshua Davy,Gabrielle Salonga",Gabrielle Salonga,0,Short,English,,0,Hong Kong,7m,No Popularity Score,,Gabrielle Salonga,0.0,Beyond
1977,No budget,"Karsten Wedel,Stars,Bo Widerberg",Karsten Wedel,0,"Documentary,Short",Swedish,,10,Sweden,38m,No Popularity Score,,Karsten Wedel,6.2,Bo Widerberg
1985,"$2,200,000 (estimated)","Danny Steinmann,Writers,Martin Kitrosser",Danny Steinmann,1h 32m,"Horror,Mystery,Thriller",English,,44K,United States,R,"4,857","July 31, 1985",Danny Steinmann,4.7,Friday the 13th: A New Beginning
2003,"$30,000,000 (estimated)","Ronny Yu,Writers,Wes Craven",Ronny Yu,1h 37m,"Action,Horror",English,,127K,"Canada,United States",R,"3,439","October 29, 2003",Ronny Yu,5.7,Freddy vs. Jason
1969,No budget,"Umberto Lenzi,Writers,Stefano Rolla",Umberto Lenzi,1h 34m,"Action,War","Spanish,German,English,Italian",,297,"Italy,Spain,West Germany",Not Rated,No Popularity Score,"June 17, 1970",Umberto Lenzi,5.0,Battle of the Commandos
1977,"$5,000,000 (estimated)","Ovidio G. Assonitis,Jerome Max,Tito Carpi",Ovidio G. Assonitis,1h 42m,"Action,Adventure,Comedy","Italian,English",,4.4K,Italy,PG,No Popularity Score,"April 27, 1977",Ovidio G. Assonitis,3.7,Tentacles
1978,No budget,"Umberto Lenzi,Writers,Umberto Lenzi",Umberto Lenzi,1h 30m,"War,Drama","Italian,German,English",,585,"Italy,West Germany,Yugoslavia",PG,No Popularity Score,"June 7, 1978",Umberto Lenzi,4.7,The Biggest Battle
Video,No budget,"Todd Williams,Stars,David Ayer",Todd Williams,18m,"Documentary,Short",English,,0,United States,2003,No Popularity Score,2003,Todd Williams,0.0,Blue Code
2002,"$15,000,000 (estimated)","Ron Shelton,James Ellroy,David Ayer",Ron Shelton,1h 58m,"Crime,Drama,Thriller",English,,24K,"United States,United Kingdom,Germany",R,No Popularity Score,"August 20, 2003",Ron Shelton,6.6,Dark Blue
2022,"$10,000,000 (estimated)","Jessica M. Thompson,Blair Butler,Stars",Jessica M. Thompson,1h 45m,"Horror,Thriller",English,,31K,"United States,Hungary",PG-13,"2,419","August 24, 2022",Jessica M. Thompson,5.3,The Invitation
2000,"$11,000,000 (estimated)","Peyton Reed,Jessica Bendinger,Stars",Peyton Reed,1h 38m,"Comedy,Romance,Sport",English,,105K,United States,PG-13,407,"May 2, 2001",Peyton Reed,6.1,Bring It On
TV Movie,No budget,"Thierry Tripod,Thierry Tripod,Stars",Thierry Tripod,52m,Documentary,French,,0,France,2009,No Popularity Score,"February 7, 2009",Thierry Tripod,0.0,Gangstars
2008,"€21,166,000 (estimated)","Jean-François Richet,Writers,Abdel Raouf Dafri",Jean-François Richet,2h 13m,"Action,Biography,Crime","French,English,Italian",,31K,"France,Canada",R,No Popularity Score,"November 19, 2008",Jean-François Richet,7.4,Mesrine: Public Enemy No. 1
2002,No budget,"Gérard Bitton,Michel Munz,Gérard Bitton",Gérard Bitton,0,Comedy,French,,1.4K,France,1h 45m,No Popularity Score,"November 27, 2002",Gérard Bitton,5.9,Ah! Si j'étais riche
2014,"€3,000,000 (estimated)","Emilio Martínez Lázaro,Borja Cobeaga,Diego San José",Emilio Martínez Lázaro,0,"Comedy,Romance","Spanish,Basque",,18K,Spain,1h 38m,No Popularity Score,"March 12, 2016",Emilio Martínez Lázaro,6.5,Spanish Affair
1938,No budget,"Aleksandr Medvedkin,Aleksandr Olenin,Aleksandr Medvedkin",Aleksandr Medvedkin,0,"Comedy,Sci-Fi",Russian,,141,Soviet Union,1h 40m,No Popularity Score,,Aleksandr Medvedkin,6.3,The New Moscow
2006,No budget,"Jane Campion,Jane Campion,Stars",Jane Campion,0,"Short,Drama",English,,384,"France,Australia",18m,No Popularity Score,May 2006,Jane Campion,6.7,The Water Diary
2010,No budget,"Stars,Valentin Gaft,Oleg Tabakov",Stars,0,"Short,Documentary",Russian,,0,Russia,No Pegi,No Popularity Score,,Stars,0.0,Ravnyaetsya odnomu Gaftu
1993,No budget,"Michael Caton-Jones,Tobias Wolff,Robert Getchell",Michael Caton-Jones,1h 55m,"Biography,Drama",English,,58K,United States,R,"4,712","June 22, 1994",Michael Caton-Jones,7.3,This Boy's Life
Music Video,No budget,"Gaspar Noé,Stars,Travis Scott",Gaspar Noé,4m,Music,English,,48,"United States,France",2023,No Popularity Score,,Gaspar Noé,6.5,Travis Scott: Modern Jam
2018,No budget,"Ian Edelman,Ian Edelman,Stars",Ian Edelman,2h,"Comedy,Music",No Language,,4.8K,United States,Not Rated,No Popularity Score,"August 24, 2018",Ian Edelman,5.8,The After Party
2019,"$50,000,000 (estimated)","Adrian Grunberg,Writers,Matthew Cirulnick",Adrian Grunberg,1h 29m,"Action,Crime,Thriller","English,Spanish",,109K,"United States,Hong Kong,France,Bulgaria,Spain,Sweden",R,"2,903","September 25, 2019",Adrian Grunberg,6.1,Rambo: Last Blood
1940,No budget,"André Hugon,Yves Mirande,Writers",André Hugon,0,Musical,French,,55,France,1h 25m,No Popularity Score,"February 15, 1941",André Hugon,5.7,Moulin Rouge
1997,"$15,000,000 (estimated)","David Lynch,David Lynch,Barry Gifford",David Lynch,2h 14m,"Drama,Mystery,Thriller",English,,153K,"France,United States",R,975,"January 15, 1997",David Lynch,7.6,Lost Highway
Video Game,No budget,"Riccardo Cangini,Paolo Eleuteri Serpieri,Alessandro Nardini",Riccardo Cangini,M,"Adventure,Horror,Mystery","English,Italian",,12,Italy,2001,No Popularity Score,,Riccardo Cangini,4.3,Druuna: Morbus Gravis
Video,No budget,"Daniel Bird,Daniel Bird,Stars",Daniel Bird,52m,Documentary,"English,French,Polish",,30,Germany,2009,No Popularity Score,,Daniel Bird,7.4,The Other Side of the Wall: The Making of Possession
1984,No budget,"Andrzej Zulawski,Writers,Dominique Garnier",Andrzej Zulawski,0,Drama,French,,1.8K,France,1h 53m,No Popularity Score,"May 16, 1984",Andrzej Zulawski,6.4,The Public Woman
1986,"$8,800,000 (estimated)","Peter Faiman,Writers,Paul Hogan",Peter Faiman,1h 37m,"Action,Adventure,Comedy",English,,115K,Australia,PG-13,"2,957","February 4, 1987",Peter Faiman,6.6,Crocodile Dundee
1951,No budget,"Hasse Ekman,Hasse Ekman,Stars",Hasse Ekman,0,Comedy,Swedish,,87,Sweden,1h 18m,No Popularity Score,,Hasse Ekman,4.4,Dårskapens hus
1993,No budget,"Daniel Alfredson,Writers,Maj Sjöwall",Daniel Alfredson,0,"Crime,Drama,Mystery","Swedish,English",,1.3K,"Sweden,Germany",1h 31m,No Popularity Score,"August 5, 1995",Daniel Alfredson,6.2,Mannen på balkongen
1973,No budget,"Federico Fellini,Writers,Federico Fellini",Federico Fellini,2h 3m,"Comedy,Drama","Italian,Greek, Ancient (to 1453)",,47K,"Italy,France",R,No Popularity Score,"May 9, 1974",Federico Fellini,7.8,Amarcord
2019,No budget,"Lars Klevberg,Blair Butler,Lars Klevberg",Lars Klevberg,1h 28m,"Drama,Horror,Mystery",English,,16K,"Norway,United States",PG-13,No Popularity Score,"December 30, 2020",Lars Klevberg,5.2,Polaroid
1937,"$575,000 (estimated)","Fritz Lang,Gene Towne,C. Graham Baker",Fritz Lang,1h 26m,"Crime,Drama,Film-Noir",English,,7.6K,United States,Passed,No Popularity Score,"May 28, 1937",Fritz Lang,7.2,You Only Live Once
2002,"$9,000,000 (estimated)","Burr Steers,Burr Steers,Stars",Burr Steers,1h 38m,"Comedy,Drama",English,,35K,"United States,Germany",R,No Popularity Score,"May 7, 2003",Burr Steers,6.8,Igby Goes Down
2016,$300 (estimated),"Antonio Gabriél,Antonio Gabriél,Stars",Antonio Gabriél,0,"Short,Drama",English,,0,United States,7m,No Popularity Score,,Antonio Gabriél,0.0,Jenny
2022,"RUR 3,500 (estimated)","Oryngaly Davletbaev,Oryngaly Davletbaev,Oryngaly Davletbaev",Oryngaly Davletbaev,0,"Short,Drama",Russian,,0,Russia,22m,No Popularity Score,,Oryngaly Davletbaev,0.0,The street fighter
TV Movie,No budget,"Éric Duret,Jean Falculète,Frédéric Faurt",Éric Duret,TV-14,"Crime,Drama,Thriller",French,,109,France,2018,No Popularity Score,"October 6, 2018",Éric Duret,6.1,Murder in Luberon
TV Movie,No budget,"Stars,Michael Cockerell,Mohamed Al-Fayed",Stars,1h,Documentary,English,,0,United Kingdom,2003,No Popularity Score,,Stars,0.0,Trust Me - I'm a Politician
Video,No budget,"Stars,Stephen Fry,Stephen Campbell Moore",Stars,10m,"Documentary,Short",English,,0,United Kingdom,2003,No Popularity Score,,Stars,0.0,Stephen Fry: Director Documentary
1997,"$116,000,000 (estimated)","Roger Donaldson,Leslie Bohem,Stars",Roger Donaldson,1h 48m,"Action,Adventure,Thriller",English,,98K,United States,PG-13,"4,103","April 2, 1997",Roger Donaldson,6.0,Dante's Peak
2003,No budget,"Stephen Fry,Stephen Fry,Evelyn Waugh",Stephen Fry,1h 42m,"Comedy,Drama,War",English,,6.3K,United Kingdom,R,No Popularity Score,"May 16, 2003",Stephen Fry,6.5,Bright Young Things
Video,No budget,"Martin Samper,Martin Samper,Stars",Martin Samper,13m,"Documentary,Short",Spanish,,13,Spain,2012,No Popularity Score,,Martin Samper,7.2,Mientras duermes: Making of
2011,"$5,000,000 (estimated)","Jaume Balagueró,Alberto Marini,Stars",Jaume Balagueró,1h 42m,"Crime,Drama,Thriller",Spanish,,47K,"Spain,Mexico",Not Rated,No Popularity Score,"November 23, 2011",Jaume Balagueró,7.2,Sleep Tight
Music Video,No budget,"Russell Mulcahy,Stars,Duran Duran",Russell Mulcahy,4m,Music,English,,685,United Kingdom,1982,No Popularity Score,,Russell Mulcahy,6.9,Duran Duran: Hungry Like the Wolf
TV Movie,No budget,"Leslie Libman,Larry Williams,Aldous Huxley",Leslie Libman,1h 27m,"Drama,Sci-Fi",English,,2.1K,United States,1998,No Popularity Score,"December 29, 2005",Leslie Libman,5.2,Brave New World
2004,No budget,"Mark Wexler,Robert DeMaio,Mark Wexler",Mark Wexler,1h 35m,"Documentary,Biography",English,,554,United States,R,No Popularity Score,,Mark Wexler,6.9,Tell Them Who You Are
Video,No budget,"Drew Barrymore,Harvey Fierstein,Ben Stiller",Drew Barrymore,4m,Short,English,,0,United States,2004,No Popularity Score,,Drew Barrymore,0.0,Duplex: Behind the Scenes Special
2003,"$40,000,000 (estimated)","Danny DeVito,Larry Doyle,Stars",Danny DeVito,1h 29m,Comedy,English,,62K,"Germany,United States",PG-13,"4,862","July 7, 2004",Danny DeVito,5.9,Duplex
2022,No budget,"Justin Benson,Aaron Moorhead,Justin Benson",Justin Benson,1h 56m,"Comedy,Horror,Mystery","English,Italian",,5.2K,United States,R,No Popularity Score,"April 28, 2023",Justin Benson,5.9,Something in the Dirt
Video,No budget,"David A. Prior,David A. Prior,Stars",David A. Prior,Not Rated,Documentary,English,,28,United States,1990,No Popularity Score,,David A. Prior,3.9,That's Action
1987,No budget,"David A. Prior,David A. Prior,Stars",David A. Prior,1h 25m,Horror,English,,2.7K,United States,R,No Popularity Score,"June 15, 2020",David A. Prior,4.7,Killer Workout
2013,No budget,"Bill Corbett,Kevin Murphy,Michael J. Nelson",Bill Corbett,1h 20m,"Action,Sci-Fi",English,,39,United States,TV-14,No Popularity Score,,Bill Corbett,7.6,RiffTrax: Firehead
1934,No budget,"Robert N. Bradbury,James Oliver Curwood,Lindsley Parsons",Robert N. Bradbury,54m,"Drama,Western",English,,997,United States,Approved,No Popularity Score,"September 3, 1936",Robert N. Bradbury,5.3,The Trail Beyond
Video,No budget,"Stars,William Forsythe,Carol Kottenbrook",Stars,1h 30m,Horror,English,,32,United States,1995,No Popularity Score,,Stars,4.8,Thriller Zone
2001,"$42,000,000 (estimated)","Steve Beck,Writers,Robb White",Steve Beck,1h 31m,"Fantasy,Horror",English,,94K,"Canada,United States",R,"2,216","January 16, 2002",Steve Beck,5.6,Thir13en Ghosts
2006,"$3,500 (estimated)","Jonathan S. Kui,Writers,Peter Atkins",Jonathan S. Kui,0,"Short,Horror",English,,599,United States,22m,No Popularity Score,,Jonathan S. Kui,3.8,Hellraiser: Prophecy
Video,No budget,"Jerry Heiss,William Hooke,Jerry Heiss",Jerry Heiss,14m,"Documentary,Short",English,,46,United States,2001,No Popularity Score,2001,Jerry Heiss,5.3,The Making of 'Spy Game'
2001,"$115,000,000 (estimated)","Tony Scott,Writers,Michael Frost Beckner",Tony Scott,2h 6m,"Action,Crime,Thriller","English,German,Arabic,French,Cantonese",,167K,"United States,Germany,Japan,France,United Kingdom",R,"3,592","January 9, 2002",Tony Scott,7.1,Spy Game
1979,No budget,"Murray Lerner,Stars,Isaac Stern",Murray Lerner,1h 24m,"Documentary,Music","English,Mandarin",,510,United States,G,No Popularity Score,"November 10, 1982",Murray Lerner,7.5,From Mao to Mozart: Isaac Stern in China
2016,No budget,"Garrett Zevgetis,Michael Roche,Julie Smith",Garrett Zevgetis,1h 30m,Documentary,English,,178,United States,Unrated,No Popularity Score,"January 31, 2017",Garrett Zevgetis,6.4,Best and Most Beautiful Things
1991,"$35,000,000 (estimated)","Joe Johnston,Writers,Dave Stevens",Joe Johnston,1h 48m,"Action,Adventure,Family","English,German",,62K,United States,PG,"2,584","December 18, 1991",Joe Johnston,6.6,The Rocketeer
1995,"$50,000,000 (estimated)","Wolfgang Petersen,Laurence Dworet,Robert Roy Pool",Wolfgang Petersen,2h 7m,"Action,Drama,Thriller","English,Korean,French",,137K,United States,R,"4,416","April 12, 1995",Wolfgang Petersen,6.6,Outbreak
Video,No budget,"Matthew J. Elliott,Bridget Jones,Mary Jo Pehl",Matthew J. Elliott,1h 25m,Mystery,English,,0,United States,2021,No Popularity Score,,Matthew J. Elliott,0.0,RiffTrax Presents: Lucky Day
TV Movie,"A$13,500 (estimated)","Penelope Buitenhuis,Peter Mohan,Mary Higgins Clark",Penelope Buitenhuis,PG-13,"Crime,Drama,Mystery",English,,354,United States,2002,No Popularity Score,"March 16, 2004",Penelope Buitenhuis,5.3,Lucky Day
TV Special,No budget,"Louis J. Horvitz,Stars,Jensen Ackles",Louis J. Horvitz,2h,News,English,,62,United States,1998,No Popularity Score,,Louis J. Horvitz,6.1,The 25th Annual Daytime Emmy Awards
TV Special,No budget,"Tony McCuin,Writers,Jesse Collins",Tony McCuin,TV-14,Comedy,English,,44,United States,2004,No Popularity Score,,Tony McCuin,6.7,BET Comedy Awards
TV Special,No budget,"Stan Lathan,Dave Chappelle,Dave Chappelle",Stan Lathan,TV-MA,Comedy,English,,11K,United States,2000,No Popularity Score,,Stan Lathan,8.7,Dave Chappelle: Killin' Them Softly
2006,"$20,000,000 (estimated)","Liam Lynch,Jack Black,Kyle Gass",Liam Lynch,1h 34m,"Adventure,Comedy,Music",English,,115K,"United States,Germany",R,"3,582","July 4, 2007",Liam Lynch,6.8,Tenacious D in the Pick of Destiny
Video,No budget,"Chris Snyder,Jess Chou,A.C. Fowler",Chris Snyder,11m,"Documentary,Short",English,,0,United States,2021,No Popularity Score,,Chris Snyder,0.0,How Sound Is Used to Create Suspense in Horror Movies
2011,No budget,"Julia Ducournau,Julia Ducournau,Stars",Julia Ducournau,22m,"Short,Fantasy",French,,1.5K,France,Not Rated,No Popularity Score,"May 16, 2011",Julia Ducournau,6.8,Junior
2021,No budget,"Marco Bellocchio,Marco Bellocchio,Stars",Marco Bellocchio,0,Documentary,Italian,,507,Italy,1h 36m,No Popularity Score,"July 16, 2021",Marco Bellocchio,7.4,Marx Can Wait
1981,No budget,"Mauro Bolognini,Writers,Alexandre Dumas fils",Mauro Bolognini,0,"Drama,Romance",French,,715,"Italy,France",1h 55m,No Popularity Score,"March 11, 1981",Mauro Bolognini,6.9,Lady of the Camelias
2023,"$30,000,000 (estimated)","John Woo,Robert Archer Lynn,Stars",John Woo,1h 44m,"Action,Thriller",,,18K,"United States,Mexico",R,"1,130","December 29, 2023",John Woo,5.3,Silent Night
2022,No budget,"João Wainer,Mariano Cohn,Gastón Duprat",João Wainer,0,"Crime,Thriller",Portuguese,,446,Brazil,1h 23m,No Popularity Score,,João Wainer,6.2,A Jaula
1977,No budget,"Werner Herzog,Werner Herzog,Werner Herzog",Werner Herzog,0,"Documentary,Short,Biography","French,German",,2.3K,West Germany,31m,No Popularity Score,"December 3, 2014",Werner Herzog,7.5,La Soufrière
2024,No budget,"Tyler Wright,Stars,Tom Frizzle",Tyler Wright,0,Documentary,English,,0,United States,6h 12m,No Popularity Score,,Tyler Wright,0.0,Minute for A Year
1998,No budget,"Tony Gerber,Lynn Nottage,Tony Gerber",Tony Gerber,1h 56m,Comedy,English,,272,United States,PG-13,No Popularity Score,,Tony Gerber,5.6,Side Streets
TV Movie,No budget,"Humphrey Dixon,John Pym,Stars",Humphrey Dixon,50m,Documentary,English,,107,United States,1985,No Popularity Score,,Humphrey Dixon,8.5,The Wandering Company
TV Movie,No budget,"Danny Miller,Stars,Joan Bradshaw",Danny Miller,24m,"Documentary,Drama",English,,170,United States,2002,No Popularity Score,,Danny Miller,6.4,The Making of 'Road to Perdition'
2002,"$80,000,000 (estimated)","Sam Mendes,Max Allan Collins,Richard Piers Rayner",Sam Mendes,1h 57m,"Crime,Drama,Thriller",English,,284K,United States,R,"2,037","September 1, 2002",Sam Mendes,7.7,Road to Perdition
1957,No budget,"Jacques Tourneur,Writers,Charles Bennett",Jacques Tourneur,1h 36m,"Fantasy,Horror,Mystery",English,,15K,United Kingdom,Approved,No Popularity Score,"March 31, 2004",Jacques Tourneur,7.4,Curse of the Demon
1948,"$3,000,000 (estimated)","Howard Hawks,Arthur Rosson,Writers",Howard Hawks,2h 13m,"Drama,Western","English,Spanish",,34K,United States,Passed,No Popularity Score,"August 10, 1949",Howard Hawks,7.8,Red River
TV Special,No budget,"Marty Pasetta,Writers,Michael Barrie",Marty Pasetta,0,Documentary,"English,American Sign Language,Spanish",,241,United States,1979,No Popularity Score,,Marty Pasetta,6.9,The 51st Annual Academy Awards
1952,No budget,"Kenji Mizoguchi,Saikaku Ihara,Kenji Mizoguchi",Kenji Mizoguchi,2h 13m,Drama,Japanese,,7.6K,Japan,Not Rated,No Popularity Score,"February 3, 1954",Kenji Mizoguchi,8.1,The Life of Oharu
Video,No budget,"David Desites,François Guérif,Jean Ollé-Laprune",David Desites,26m,"Documentary,Short",French,,0,France,2023,No Popularity Score,"April 26, 2023",David Desites,0.0,3 jours à vivre - Entretiens avec François Guérif & Jean Ollé-Laprune
1920,No budget,"Carl Theodor Dreyer,Carl Theodor Dreyer,Kristofer Janson",Carl Theodor Dreyer,1h 34m,"Comedy,Drama,Horror","None,Swedish,Danish",,1.5K,Sweden,TV-14,No Popularity Score,"February 10, 1922",Carl Theodor Dreyer,7.1,The Parson's Widow
1959,"$3,480,000 (estimated)","John Sturges,Millard Kaufman,Tom T. Chamales",John Sturges,2h 5m,"Drama,War","Japanese,Italian,English",,3.4K,United States,Approved,"3,528","June 8, 1960",John Sturges,5.8,Never So Few
1988,No budget,"Jean-Patrick Lebel,Claude Miller,Marina Vlady",Jean-Patrick Lebel,0,Documentary,French,,0,France,1h 20m,No Popularity Score,"November 16, 1988",Jean-Patrick Lebel,0.0,Notes pour Debussy - Lettre ouverte à Jean-Luc Godard
TV Movie,No budget,"Selina Mehta,Stars,Graham Chapman",Selina Mehta,0,Comedy,English,,37,United Kingdom,2000,No Popularity Score,,Selina Mehta,7.1,From Spam to Sperm
1971,No budget,"Bo Hansson,Sören Erlandsson,J.R.R. Tolkien",Bo Hansson,0,"Short,Fantasy",Swedish,,62,Sweden,28m,No Popularity Score,,Bo Hansson,3.9,Sagan om ringen
2006,"$225,000,000 (estimated)","Gore Verbinski,Writers,Ted Elliott",Gore Verbinski,2h 31m,"Action,Adventure,Fantasy","English,Turkish,Greek,Mandarin,French",,765K,United States,PG-13,719,"July 6, 2006",Gore Verbinski,7.4,Pirates of the Caribbean: Dead Man's Chest
2024,"$2,500,000 (estimated)","James Twyman,Matthew Clark ""Ghost"",Tesha Clark",James Twyman,0,"Action,Horror,Thriller",English,,0,United States,No Pegi,No Popularity Score,,James Twyman,0.0,Detour 95
2012,"$180,000,000 (estimated)","Peter Jackson,Writers,Fran Walsh",Peter Jackson,2h 49m,"Adventure,Fantasy",English,,871K,"New Zealand,United States",PG-13,599,"December 12, 2012",Peter Jackson,7.8,The Hobbit: An Unexpected Journey
1968,"$5,500,000 (estimated)","Peter Yates,Alan Trustman,Harry Kleiner",Peter Yates,1h 54m,"Action,Crime,Thriller",English,,76K,United States,M/PG,"3,804","March 17, 1969",Peter Yates,7.4,Bullitt
2019,"€13,000,000 (estimated)","Alexandre de La Patellière,Matthieu Delaporte,Writers",Alexandre de La Patellière,0,"Comedy,Drama",French,,2.4K,"France,Belgium",1h 57m,No Popularity Score,"December 4, 2019",Alexandre de La Patellière,6.7,The Best Is Yet to Come
